Title,NP without modification,Surface modification,SizeTEM (nm),Zeta potential,Incubation protein source,Incubation plasma concentration (v/v%),Incubation NP concentration (mg/L),Centrifugation speed (g),Centrifugation time （min）,Certrifugation temperature (℃),NP type,NP shape,Dispersion medium,Dispersion medium pH,SizeDLS (nm),PDI,Incubation culture,Incubation time (h),Incubation temperature (℃),Centrifugation repetitions,Modification type,Individual proteins,P02647,P02768,P04264,P13645,P35908,P35527,P02788,P02533
Protein adsorption is required for stealth effect of poly(ethylene glycol)- and poly(phosphoester)-coated nanocarriers,PS,PEG,119,8,HP,80,822.2696,20000,60,25,other,sphere,water,7,119,2.5,water,1,37,1,Neutral,,0.925258691,28.29049204,0,0,0,0,0,0
Protein adsorption is required for stealth effect of poly(ethylene glycol)- and poly(phosphoester)-coated nanocarriers,PS,PEG,117,14,HP,80,836.3325,20000,60,25,other,sphere,water,7,117,2.5,water,1,37,1,Neutral,,17.11826849,2.68822952,0.114682243,0.014092309,0,0.009718834,0,0
Protein adsorption is required for stealth effect of poly(ethylene glycol)- and poly(phosphoester)-coated nanocarriers,PS,NH2,106,46,HP,80,923.114,20000,60,25,other,sphere,water,7,106,2.5,water,1,37,1,Anionic,,12.28151461,0.428409312,0.122210807,0.008057855,0.023502078,0.036931837,0,0
Protein adsorption is required for stealth effect of poly(ethylene glycol)- and poly(phosphoester)-coated nanocarriers,PS,PEEP,122,-10,HP,80,802.0499,20000,60,25,other,sphere,water,7,122,2.5,water,1,37,1,Neutral,,0.95366012,0.088385024,0.070830493,0.002449469,0.005715429,0.010206123,0,0
Protein adsorption is required for stealth effect of poly(ethylene glycol)- and poly(phosphoester)-coated nanocarriers,PS,PEEP,117,-9,HP,80,836.3255,20000,60,25,other,sphere,water,7,117,2.5,water,1,37,1,Neutral,,0.339324109,0.079498791,0.014865628,0.003662546,0,0,0,0
Biophysics and protein corona analysis of Janus cyclodextrin-DNA nanocomplexes. Efficient cellular transfection on cancer cells,ADM70,none,114,29.8,HS,50,500,14000,15,3,liposome,sphere,plasma,7.4,114,0.21,water,1,37,1,Anionic,,4.08,2.64,0,0,0,0,0,0
Biophysics and protein corona analysis of Janus cyclodextrin-DNA nanocomplexes. Efficient cellular transfection on cancer cells,ADM105,none,149,31.7,HS,50,500,14000,15,3,liposome,sphere,plasma,7.4,149,0.41,water,1,37,1,Anionic,,3.63,5.7,0,0,0,0,0,0
Biophysics and protein corona analysis of Janus cyclodextrin-DNA nanocomplexes. Efficient cellular transfection on cancer cells,ADM105,pDNA,191,-16.3,HS,50,500,14000,15,3,liposome,sphere,plasma,7.4,191,0.64,water,1,37,1,Anionic,,4.85,4.89,0,0,0,0,0,0
Biophysics and protein corona analysis of Janus cyclodextrin-DNA nanocomplexes. Efficient cellular transfection on cancer cells,ADM70,pDNA,153,-17.4,HS,50,500,14000,15,3,liposome,sphere,plasma,7.4,153,0.34,water,1,37,1,Anionic,,2.82,3.37,0,0,0,0,0,0
Characterization of the bionano interface and mapping extrinsic interactions of the corona of nanomaterials,PS,COOH,40,-43.5,HP,10,40,250,3,25,other,sphere,PBS,7.4,73.7,0.06,buffer,1,25,1,Anionic,,1.3819722,4.8598362,4.3066237,2.3849152,2.2799809,1.9536684,0,0.2093097
