Accession Number,AMNP,CMNP,NP50,con,p2k,p20k,phys
P02769,531,447,567,441,263,161,342
Q2UVX4,42,46,136,154,51,32,189
P01044,27,36,37,56,41,48,71
Q7SIH1,2,31,73,90,21,7,88
P01045,22,29,5,9,4,4,10
P00735,13,26,59,92,14,23,110
P02081,10,24,39,36,17,37,39
P34955,13,22,36,35,9,10,38
P12763,17,19,29,24,12,16,65
Q148H4,0,18,0,0,0,0,0
A4FUZ0,0,17,0,0,0,0,0
P15497,8,15,35,42,17,24,49
P50448,17,14,38,32,15,13,25
P01030,14,14,78,84,29,28,87
Q29443,19,13,30,48,10,18,61
Q5E9Z2,5,13,30,38,0,0,47
P17690,18,12,50,31,3,0,16
P01966,6,12,26,27,19,41,28
P06868,0,12,128,102,6,9,114
P17697,0,10,22,19,10,0,16
P00978,5,9,18,16,7,7,17
Q0P5J7,0,8,0,0,0,0,0
O02659,7,7,6,12,8,0,10
Q03247,4,7,42,49,19,43,68
P81948,0,7,10,13,0,0,16
P81644,5,6,5,8,5,10,9
P33433,3,6,11,16,3,7,12
Q28085,0,6,210,308,9,8,171
P24627,1,5,4,18,25,16,63
Q28107,4,4,67,66,12,13,50
Q2KIS7,4,4,23,29,9,10,25
P20959,3,4,8,15,5,5,10
Q3SZV7,2,4,10,8,0,0,9
P41361,1,4,63,70,29,35,79
Q08D91,1,4,0,0,0,0,0
Q28178,0,4,84,105,7,3,110
P10096,0,4,15,23,9,12,38
P04815,2,3,8,10,7,4,19
Q6R8F2,2,3,3,6,0,3,4
Q3MHN5,1,3,7,11,0,0,18
Q2KIG3,1,3,16,21,7,10,42
Q58D62,0,3,9,10,0,0,13
P28800,0,3,20,20,3,0,22
Q3SZ57,3,2,6,11,0,0,16
Q3SZR3,3,2,5,8,0,0,4
P35527,3,2,51,64,68,46,108
Q2TBI0,0,2,12,23,0,0,18
Q27967,0,2,10,15,7,10,9
Q2YX30,0,2,0,0,0,0,0
P12082,2,1,0,4,0,0,0
G3MYZ3,1,1,0,0,0,0,0
Q3T052,0,1,20,11,0,0,10
Q3SX14,0,1,97,77,0,3,46
P81187,3,0,0,0,0,0,3
O46375,2,0,7,8,0,3,9
P00330,0,0,30,44,47,48,35
