NanoParticle,,P01871,,P01024,,P02647,,P02649,,P02768,
NP.without.modification,Surface.modification,p,a,p,a,p,a,p,a,p,a
DOTAP-DC-Chol,none,1.83647827,3.38,2.132730902,4.29,1.985686253,2.04,1.085459077,0,4.530835613,5.59
DOTAP,none,0.806019872,0,3.373655881,2.609528957,2.647297475,1.062588284,0.952373871,0.935250086,4.825181266,4.476103742
Au,LA,1.514947096,0.6516,2.163411636,2.0614,3.377649205,0.6519,6.504454958,14.8636,0.507191581,0
PS,none,1.065658996,1.03,0.527940985,1.03,8.099472672,1.75,0.508174317,0.32,14.69500847,40.84
Au,none,-7.25E-16,0,0.415552705,0,8.544738369,15,0.019462048,0,7.432314664,5.4
SiO2,COOH,1.117602202,1.71,2.554098395,2.24,4.219508769,2.06,0.657729543,1.08,3.505793276,2.92
Au,CTAB,1.499268685,1.3068,2.205081053,2.4019,3.532424496,7.5698,6.49144535,2.0837,0.507191581,0
HSPC-DSPG-Chol,none,0.752040209,0.67,1.163350327,0,1.542050304,1,1.574127822,0.77,4.475982165,4.8
HSPC-Chol-DSPE-PEG20000,PEG,1.727807047,1.86,1.550613372,0.92,2.611877323,1.04,2.68937944,3.46,1.681507265,0.84
DOTAP,none,0.741571626,1.175725575,3.057334339,2.372329284,1.989648407,0.700091006,0.817103606,0.748451812,3.465523107,2.557271201
PS,none,1.065658996,0.95,0.527940985,0.22,8.099472672,10.29,0.508174317,0.56,14.69500847,3.54
Ag,PVP,0.07131035,0,0.456264329,0,13.15201015,13.16912197,0.206914573,0,19.84069225,15.10413891
DC-Chol-DOPE,none,1.017288416,1.42598,3.863975454,5.31456,2.326974125,1.93823,0.952177659,1.74004,3.841207165,4.3312
Au,PEG,2.568458075,0,4.026552425,1.2703,4.597149549,0,4.356196527,1.3124,0.507191581,0
Au,NT,1.840999175,0.2677,2.002944947,1.214,4.552204619,6.9423,4.335561299,19.3243,0.543379951,0
Au,LA,1.249216429,1.774395583,1.00828731,0.218751228,6.625151246,3.800381987,1.087509357,1.132346487,11.91269988,12.98390888
PS,COOH,3.470745479,8.4423039,1.181728426,0.1489602,2.651113135,0.1471183,2.143993279,2.8564419,4.317957494,1.0960737
SiO2,none,1.132762468,1.02,2.166890076,0.57,12.50265907,23.17,0.560175982,0.19,7.263558547,8.57
PS,COOH,2.094837412,0.12,0.905361605,0,2.459278157,0.25,1.390321624,0,7.738869149,1.13
DOPG-DOPA,none,1.435916751,1.42,2.601630717,1.41,2.032744123,0,0.941735688,0,2.963450074,2.98
PS,COOH,0.90284368,0.39,0.596048961,0.29,5.193477013,3.28,0.820378034,2.94,24.10882604,0.69
TiO2,none,-4.95E-16,0,2.200733827,2.8,6.118047157,3.72,0.328542061,0,3.536126678,2.82
Au,none,-7.25E-16,0,0.415552705,0.38,8.544738369,6.88,0.019462048,0,7.432314664,9.75
Ag,CIT,0.462319375,0.637460209,0.768574768,0.178910998,2.437661817,1.17679255,0.711903783,1.014901311,1.775342473,0.468231133
SiO2,none,0.080888045,0,1.354077061,1.32,4.342469759,4.32,0.452038296,0.73,19.41736687,18.85
PS,none,1.228514715,2.59,2.030534888,0.6,9.557958539,10.59,0.579150367,0.59,17.52893982,20.87
Au,PEG,1.55107391,1.475342756,0.456816875,0.167035744,5.706925812,4.23197378,0.800506075,1.729291661,12.41178967,9.764135435
SiO2,none,0.036892722,0,1.373787809,1.09,4.635935078,2.61,0.477121017,0.82,21.72453657,22.54
HSPC-Chol-DSPE,PEG,1.391528281,2.23,1.258860902,1.24,3.130657133,3.25,4.847748035,12.06,3.905480956,4.41
DOTAP/DNA,none,0.959645601,1.281965243,3.658738813,2.051587642,2.067271251,1.392012597,1.312507394,1.593802278,4.804200524,4.024107844
Fe3O4,PC,0.156607759,0.069983862,1.045938228,0.986424545,1.238263504,0.030177359,0.559096144,0.384901583,0.549286445,0
DOTAP-DC-Chol,none,0.704800627,0,2.106966715,2.3,1.659251995,3.26,0.834525685,1.19,4.473322534,4.63
zeolite,EMT,0.386702754,0.64,3.560810556,2.84,4.260997654,2.88,0.386120395,0,8.690373669,5.32
SiO2,none,0.036892722,0,1.373787809,1.11,4.635935078,3.04,0.477121017,0.7,21.72453657,26.33
DC-Chol-DOPE,none,0.816204868,0.723101996,2.391078747,2.295573697,1.743928097,4.581325221,0.666359485,2.687683595,3.094314946,5.549827975
DOTAP/DNA,none,0.60760473,0,4.772069142,7.5,1.07265588,0,0.288932604,0,13.29936012,17.3
PS,COOH,3.374697098,6.57,1.370784358,0.44,3.420462747,0.24,2.157064846,1.63,6.147494451,1.2
Au,none,-7.21E-16,0,0.269675224,0,8.67556294,10,0.02327326,0,6.82470429,3.8
SiO2,NH2,1.079515475,1.33,2.519529774,2.15,4.17868642,2.45,0.767531302,1.27,2.810787135,2.37
Au,none,0.017350667,0,0.216164683,0.58,6.590319646,4.21,0.033148505,0,7.146281379,6.57
MWCNT,COOH,1.591204396,0.503550322,1.702453482,0.087964227,2.445775815,1.724524489,2.695170328,0,5.312659276,4.589119236
PS,none,1.228514715,1.73,2.030534888,2.42,9.557958539,10.21,0.579150367,0.94,17.52893982,14.54
Au,BPEI,1.40452267,1.850619246,0.618642373,0.244444545,6.025534649,4.830682638,0.771377406,0.949009261,12.5055929,12.69531152
DOTAP:DOPC:DC-Chol:DOPE-PEG,PEG,0.024033882,0,0.501953009,0,2.92652294,2.1,0.998662462,1.13,9.411609679,8.46
SiO2,none,0.033333474,0,1.339450927,1.32,4.350564183,4.32,0.455380213,0.73,21.7175044,18.85
SiO2,none,0.339548114,0.25,2.422271399,2.73,4.573725536,4.73,0.730833335,1.19,26.56595149,25.34
Au,amino acid,1.479228292,1.5121,2.182142584,2.1174,2.736101086,1.0813,7.496419647,13.1872,0.649632068,0
Au,CALNN,1.371203357,0.6957,2.261070344,1.2106,4.243774313,1.4477,5.235286434,1.516,0.507191581,0
DC-Chol-DOPE,none,0.524503927,0,1.415795333,0.14,1.363688414,0,0.510696301,0.16,2.216661568,0.16
DOTAP-DC-Chol,none,1.226118575,2.03,2.565924075,1.5,2.204620189,1.13,0.775857465,1.02,4.616541692,2.24
SiO2,NH2,1.079515475,1.15,2.519529774,2.39,4.17868642,2.31,0.767531302,1.35,2.810787135,1.76
SiO2,COOH,1.34707495,1.65,2.460945458,1.79,2.809831465,1.59,1.179653125,2.34,2.378722442,2.06
DC-Chol-DOPE,none,0.90499027,0.70477,3.485795304,2.20764,2.222340086,1.56975,0.95106415,1.37687,3.687652302,7.49256
Fe3O4,NH2,0.010528993,0,0.358282293,0,3.232184966,0,0.074703878,0,36.49264436,4.850053
DOTAP:DOPC:DC-Chol:DOPE-PEG,PEG,0.024033882,0,0.501953009,0.68,2.92652294,2.73,0.998662462,1.31,9.411609679,28.3
SiO2,none,1.022469926,0.418571084,2.33114029,1.5587836,9.179450161,20.41731878,0.92893686,2.24577641,7.753793402,11.31982558
Fe3O4,NH2,0.010528993,0,0.358282293,0.171867,3.232184966,3.566636,0.074703878,0,36.49264436,43.15268
TiO2,none,0.000602733,0,2.294962152,1.49,6.020485885,5.08,0.301501323,0.54,3.441662867,4.37
PS,NH2,1.044323452,0.98,0.52396585,0.55,7.640252395,2.46,0.477242836,0.07,16.7461084,49.31
Au,none,-7.21E-16,0,0.269675224,0,8.67556294,8.4,0.02327326,0,6.82470429,9.4
SiO2,none,1.24740025,0.99,2.408102576,1.31,2.769933019,1.41,1.264907887,1.89,2.187858429,1.41
PS,none,1.454476061,1.57,1.536095023,1.34,10.67999341,7.55,0.586412083,0.82,18.37354308,17.26
HSPC-Chol-DSPE-PEG20000,PEG,2.346024418,2.04,1.120276284,1.21,1.953505956,0,3.962325713,5.74,1.870479245,1.75
ADM105,none,0.762969136,1.92,2.179893896,1.63,3.217494824,3.63,1.871649249,2.7,3.586522042,5.7
SiO2,none,0.361277887,0.26,2.470790814,2.27,4.520557065,3.68,0.72775017,1.08,26.69579482,26.59
