"","SizeTEM..nm.","Zeta.potential","Incubation.protein.source","Incubation.plasma.concentration..v.v..","Incubation.NP.concentration..mg.L.","Centrifugation.speed..g.","Centrifugation.time.ï..minï..","Certrifugation.temperature..â.ƒ.","NP.type","NP.shape"
"1",119,8,"HP",80,822.2696,20000,60,25,"other","sphere"
"2",117,14,"HP",80,836.3325,20000,60,25,"other","sphere"
"3",106,46,"HP",80,923.114,20000,60,25,"other","sphere"
"4",122,-10,"HP",80,802.0499,20000,60,25,"other","sphere"
"5",117,-9,"HP",80,836.3255,20000,60,25,"other","sphere"
"6",114,29.8,"HS",50,500,14000,15,3,"liposome","sphere"
"7",149,31.7,"HS",50,500,14000,15,3,"liposome","sphere"
"8",191,-16.3,"HS",50,500,14000,15,3,"liposome","sphere"
"9",153,-17.4,"HS",50,500,14000,15,3,"liposome","sphere"
"10",40,-43.5,"HP",10,40,250,3,25,"other","sphere"
"11",40,-43.5,"HP",25,40,250,3,25,"other","sphere"
"12",40,-43.5,"HP",55,40,250,3,25,"other","sphere"
"13",40,-43.5,"HP",75,40,250,3,25,"other","sphere"
"14",100,-53.2,"HP",10,5,250,3,25,"other","sphere"
"15",100,-61.2,"HP",10,1,250,3,25,"other","sphere"
"16",13,-35,"HP",10,100,10000,20,25,"other","sheet"
"17",13,-35,"HP",10,100,10000,20,25,"other","sheet"
"18",13,-35,"HP",10,100,10000,20,25,"other","sheet"
"19",13,-35,"HP",10,100,10000,20,25,"other","sphere"
"20",13,-35,"HP",10,100,10000,20,25,"other","sphere"
"21",13,-35,"HP",10,100,10000,20,25,"other","sphere"
"22",13,-35,"HP",10,100,10000,20,25,"other","sphere"
"23",13,-35,"HP",100,100,10000,20,25,"other","sheet"
"24",13,-35,"HP",100,100,10000,20,25,"other","sheet"
"25",13,-35,"HP",100,100,10000,20,25,"other","sheet"
"26",13,-35,"HP",100,100,10000,20,25,"other","sheet"
"27",13,-35,"HP",100,100,10000,20,25,"other","sphere"
"28",13,-35,"HP",100,100,10000,20,25,"other","sphere"
"29",13,-35,"HP",100,100,10000,20,25,"other","sphere"
"30",13,-35,"HP",100,100,10000,20,25,"other","sphere"
"31",200,45,"HP",50,500,15000,10,25,"liposome","sphere"
"32",200,45,"HP",50,500,15000,10,25,"liposome","sphere"
"33",200,45,"HP",50,500,15000,10,25,"liposome","sphere"
"34",200,50,"HP",50,500,15000,10,25,"liposome","sphere"
"35",200,50,"HP",50,500,15000,10,25,"liposome","sphere"
"36",200,50,"HP",50,500,15000,10,25,"liposome","sphere"
"37",100,47.5,"HP",50,500,15000,10,25,"liposome","sphere"
"38",100,47.5,"HP",50,500,15000,10,25,"liposome","sphere"
"39",100,47.5,"HP",50,500,15000,10,25,"liposome","sphere"
"40",102,54.3,"HP",50,500,15000,10,25,"liposome","sphere"
"41",102,54.3,"HP",50,500,15000,10,25,"liposome","sphere"
"42",102,54.3,"HP",50,500,15000,10,25,"liposome","sphere"
"43",109,56.3,"HP",50,500,15000,10,25,"liposome","sphere"
"44",109,56.3,"HP",50,500,15000,10,25,"liposome","sphere"
"45",109,56.3,"HP",50,500,15000,10,25,"liposome","sphere"
"46",105,60.5,"HP",50,500,15000,10,25,"liposome","sphere"
"47",105,60.5,"HP",50,500,15000,10,25,"liposome","sphere"
"48",105,60.5,"HP",50,500,15000,10,25,"liposome","sphere"
"49",83.5,50.5,"HP",50,500,15000,10,25,"liposome","sphere"
"50",90.8,51.2,"HP",50,500,15000,10,25,"liposome","sphere"
"51",78.8,55.7,"HP",50,500,15000,10,25,"liposome","sphere"
"52",103.2,11.3,"HP",50,500,14000,15,25,"liposome","sphere"
"53",118.7,15.5,"HP",50,500,14000,15,25,"liposome","sphere"
"54",116.9,18.3,"HP",50,500,14000,15,25,"liposome","sphere"
"55",86,27.4,"HP",50,500,14000,15,25,"liposome","sphere"
"56",80,-57,"HP",91,91,10000,20,25,"carbon","tube"
"57",50,-20,"FBS",100,100,20000,30,4,"other","sphere"
"58",50,-13.5,"FBS",100,100,20000,30,4,"other","sphere"
"59",21.6,-21.2,"HP",100,1000,19000,20,4,"metal","sphere"
"60",21.6,-21.2,"HP",100,1000,19000,20,4,"metal","sphere"
"61",24.3,-26.1,"HP",100,1000,19000,20,4,"metal","sphere"
"62",24.3,-26.1,"HP",100,1000,19000,20,4,"metal","sphere"
"63",21.6,-6.6,"HP",100,1000,19000,20,4,"metal","sphere"
"64",21.6,-6.6,"HP",100,1000,19000,20,4,"metal","sphere"
"65",24.3,-9.9,"HP",100,1000,19000,20,4,"metal","sphere"
"66",24.3,-9.9,"HP",100,1000,19000,20,4,"metal","sphere"
"67",95,-13.5,"FBS",10,1000,16000,20,25,"other","sphere"
"68",95,-13.5,"FBS",30,1000,16000,20,25,"other","sphere"
"69",95,-13.5,"FBS",50,1000,16000,20,25,"other","sphere"
"70",204,-13.5,"FBS",80,1000,20000,20,25,"other","sphere"
"71",79,-13.5,"FBS",80,1000,20000,20,25,"other","sphere"
"72",127.27,-27.87,"RP",82,90,9000,20,25,"liposome","sphere"
"73",127.27,-27.87,"RP",100,5,9000,20,25,"liposome","sphere"
"74",121.82,-30.37,"RP",82,90,9000,20,25,"liposome","sphere"
"75",121.82,-30.37,"RP",100,5,9000,20,25,"liposome","sphere"
"76",110.91,-32.1,"RP",82,90,9000,20,25,"liposome","sphere"
"77",110.91,-32.1,"RP",100,5,9000,20,25,"liposome","sphere"
"78",110.91,-36.23,"RP",82,90,9000,20,25,"liposome","sphere"
"79",110.91,-36.23,"RP",100,5,9000,20,25,"liposome","sphere"
"80",127.27,-36.54,"RP",82,90,9000,20,25,"liposome","sphere"
"81",127.27,-36.54,"RP",100,5,9000,20,25,"liposome","sphere"
"82",121.82,-37.51,"RP",82,90,9000,20,25,"liposome","sphere"
"83",121.82,-37.51,"RP",100,5,9000,20,25,"liposome","sphere"
"84",185,-20.5,"RP",95.23,500,1800,10,4,"liposome","sphere"
"85",185,-20.5,"RP",100,500,1800,10,4,"liposome","sphere"
"86",185,-26.1,"RP",95.23,500,1800,10,4,"liposome","sphere"
"87",185,-26.1,"RP",100,500,1800,10,4,"liposome","sphere"
"88",139,-24,"FBS",50,500,14000,10,25,"liposome","sphere"
"89",139,-24,"FBS",50,500,14000,10,25,"liposome","sphere"
"90",131,-25,"FBS",50,500,14000,10,25,"liposome","sphere"
"91",131,-25,"FBS",50,500,14000,10,25,"liposome","sphere"
"92",139,-26,"FBS",50,500,14000,10,25,"liposome","sphere"
"93",139,-26,"FBS",50,500,14000,10,25,"liposome","sphere"
"94",131,-28,"FBS",50,500,14000,10,25,"liposome","sphere"
"95",131,-28,"FBS",50,500,14000,10,25,"liposome","sphere"
"96",19.09,-21.2,"HP",66,0.01141,19000,20,4,"metal","sphere"
"97",19.09,-23.97,"HP",66,0.02101,19000,20,4,"metal","sphere"
"98",20.08,-24.97,"HP",66,0.02101,19000,20,4,"metal","sphere"
"99",18.11,-25.7,"HP",66,0.01141,19000,20,4,"metal","sphere"
"100",20.08,-26.13,"HP",66,0.01141,19000,20,4,"metal","sphere"
"101",18.11,-26.9,"HP",66,0.02101,19000,20,4,"metal","sphere"
